scenario_label,closeness_condition,closeness,action,n,empirical_stat,ci_lower,mean,ci_upper
driving,close,2,3,25,4.08,3.3333333333333335,4.0847775688185495,4.793275862068965
driving,extremely_close,3,0,22,1.7272727272727273,1.3570378151260505,1.7286383757271073,2.1739130434782608
driving,extremely_close,3,1,22,1.1363636363636365,1,1.1317608705704696,1.2858630952380952
driving,extremely_close,3,2,22,2.409090909090909,1.7082720588235296,2.3941563363294844,3.1875744047619046
driving,extremely_close,3,3,22,3.3636363636363638,2.4443333333333332,3.363847783137411,4.304739130434782
fair,not_close,0,0,20,1.85,1.25,1.8528393315213352,2.5714285714285716
fair,not_close,0,1,20,1.55,1.2351809954751132,1.551774132657923,1.9310919540229885
fair,not_close,0,2,20,4.3,3.5856821589205397,4.300309121202711,5
fair,not_close,0,3,20,5.8,5.199807692307692,5.8141844676896985,6.357142857142857
fair,somewhat_close,1,0,19,1.6842105263157894,1.136287878787879,1.6476819744338587,2.3157894736842106
fair,somewhat_close,1,1,19,1.3157894736842106,1.0908102766798418,1.3209114400206001,1.6154761904761905
fair,somewhat_close,1,2,19,2.8421052631578947,2.2,2.8443813581889468,3.555729166666666
fair,somewhat_close,1,3,19,4.105263157894737,3.35,4.099390277271475,4.866874999999999
fair,close,2,0,23,1.1304347826086956,1,1.1275524909628571,1.3333333333333333
fair,close,2,1,23,1.2173913043478262,1.0454545454545454,1.2172890549886393,1.4401111111111111
fair,close,2,2,23,3.5217391304347827,2.863474025974026,3.5239920887334626,4.2419237749546275
fair,close,2,3,23,4.956521739130435,4.157894736842105,4.9404440845732385,5.7059436274509805
fair,extremely_close,3,0,27,1.3333333333333333,1.0344827586206897,1.340063352131504,1.7369395711500972
fair,extremely_close,3,1,27,1.5555555555555556,1.161205432937182,1.54503742822174,2
fair,extremely_close,3,2,27,3.185185185185185,2.5238095238095237,3.1918368755094755,3.9411764705882355
fair,extremely_close,3,3,27,4,3.2999074074074075,3.9986546806913568,4.71461038961039
gala,not_close,0,0,25,1.44,1.0499404761904763,1.4350081776267256,1.9090909090909092
gala,not_close,0,1,25,2.96,2.399782608695652,2.960734962345335,3.5911363636363633
gala,not_close,0,2,25,3.8,3.166666666666667,3.8018632142313655,4.476285714285714
gala,not_close,0,3,25,5.16,4.52625313283208,5.160200016728082,5.787973484848485
gala,somewhat_close,1,0,23,1.2173913043478262,1,1.20527910251593,1.5173538230884553
gala,somewhat_close,1,1,23,2.1739130434782608,1.5907196969696968,2.1669526813117232,2.842481203007518
gala,somewhat_close,1,2,23,2.5217391304347827,1.7994444444444444,2.5401441379628515,3.333333333333333
gala,somewhat_close,1,3,23,3.260869565217391,2.538235294117647,3.2537854022395045,4
gala,close,2,0,20,1.4,1.1333333333333333,1.4059671254026656,1.7333333333333334
gala,close,2,1,20,1.75,1.368421052631579,1.7599736371383996,2.15
gala,close,2,2,20,2.25,1.592483660130719,2.2575437234583418,3.1
gala,close,2,3,20,3.4,2.642694805194805,3.4065074764092014,4.27797619047619
gala,extremely_close,3,0,21,1.4285714285714286,1.1666666666666667,1.4304246627257178,1.739170692431562
gala,extremely_close,3,1,21,1.3333333333333333,1.079851851851852,1.3327581020092094,1.6316985645933013
gala,extremely_close,3,2,21,1.619047619047619,1.2665789473684208,1.6106246532316173,2
gala,extremely_close,3,3,21,2.6666666666666665,2.043432971014493,2.667724279795694,3.368585526315789
hike,not_close,0,0,21,1.4761904761904763,1.0909090909090908,1.476482782755892,2.047678571428571
hike,not_close,0,1,21,1.9523809523809523,1.3683014354066987,1.937466006306261,2.579179566563467
