scenario_label,closeness_condition,closeness,action,n,empirical_stat,ci_lower,mean,ci_upper
dip,extremely_close,3,0,23,1.5217391304347825,1.111011904761905,1.5392630878322542,2.210697940503432
dip,extremely_close,3,1,23,2.217391304347826,1.5597500000000002,2.220653298177398,2.9576086956521728
dip,extremely_close,3,2,23,2.782608695652174,1.999107142857143,2.7581440336176466,3.5602857142857136
dip,extremely_close,3,3,23,4.173913043478261,3.4761278195488723,4.179471960763953,4.869701086956522
drinks,not_close,0,0,18,2.111111111111111,1.2998529411764705,2.0977081055352844,3.076923076923077
drinks,not_close,0,1,18,2,1.5,1.9943060542298938,2.4706656346749227
drinks,not_close,0,2,18,3.2222222222222223,2.5621875,3.244602913648569,4
drinks,not_close,0,3,18,4.444444444444445,3.6874177631578946,4.444654798004941,5.136525974025974
drinks,somewhat_close,1,0,22,1.0909090909090908,1,1.0924690385839486,1.2353641456582634
drinks,somewhat_close,1,1,22,1.6363636363636365,1.2631006864988559,1.6330136917454157,2.095357142857143
drinks,somewhat_close,1,2,22,3.227272727272727,2.5554166666666664,3.2316995078791346,3.9413312693498455
drinks,somewhat_close,1,3,22,4.590909090909091,4,4.601842337207733,5.235294117647059
drinks,close,2,0,25,1.3599999999999999,1.105263157894737,1.3594898563101496,1.6876201923076921
drinks,close,2,1,25,1.6,1.173913043478261,1.6061666911402421,2.167045454545454
drinks,close,2,2,25,2.2800000000000002,1.8461538461538463,2.287222856982677,2.762142857142857
drinks,close,2,3,25,3.2,2.5649758454106277,3.2036587269474555,3.9131340579710145
drinks,extremely_close,3,0,24,3,2.124147727272727,2.9932393116364793,3.9445833333333336
drinks,extremely_close,3,1,24,2.041666666666667,1.4582386363636366,2.033329733140649,2.6803076923076925
drinks,extremely_close,3,2,24,3.125,2.411470588235294,3.1254785026513243,3.9235294117647053
drinks,extremely_close,3,3,24,2.875,2.0952380952380953,2.8590328937784006,3.704111111111111
driving,not_close,0,0,20,1.95,1.3328947368421051,1.9488247887860115,2.714484126984127
driving,not_close,0,1,20,1.35,1,1.3500401061580742,1.7200555555555554
driving,not_close,0,2,20,4.05,3.2141917293233084,4.0442496433679045,4.8243697478991585
driving,not_close,0,3,20,5.75,5.039,5.747671625897414,6.375240384615385
driving,somewhat_close,1,0,22,1.7272727272727273,1.263157894736842,1.7380728569916046,2.368585526315789
driving,somewhat_close,1,1,22,1.3636363636363638,1.0369731800766284,1.3583411496757696,1.736842105263158
driving,somewhat_close,1,2,22,3.3181818181818183,2.7058823529411766,3.317502737096508,3.9166666666666665
driving,somewhat_close,1,3,22,4.954545454545454,4.222222222222222,4.961698344241705,5.666666666666667
driving,close,2,0,25,1.6400000000000001,1.1935173697270471,1.6456052397975631,2.157947368421053
driving,close,2,1,25,1.4,1.0713669950738915,1.4091891169045387,1.8573051948051946
driving,close,2,2,25,3,2.296146953405018,3.0180408306456585,3.7504166666666663
driving,close,2,3,25,4.08,3.3748355263157896,4.069447717654216,4.7744039270687235
driving,extremely_close,3,0,22,1.7272727272727273,1.3529411764705883,1.7298848188616238,2.1905219780219785
driving,extremely_close,3,1,22,1.1363636363636365,1,1.1341039408172677,1.28003125
driving,extremely_close,3,2,22,2.409090909090909,1.684150717703349,2.417195627362136,3.2917279411764704
driving,extremely_close,3,3,22,3.3636363636363638,2.4542929292929294,3.3660127230010057,4.29445701357466
fair,not_close,0,0,20,1.85,1.2855714285714286,1.8371759875381048,2.625551470588235
fair,not_close,0,1,20,1.55,1.1875,1.5490626595181953,1.9090909090909092
fair,not_close,0,2,20,4.3,3.5880030959752323,4.305353912553853,5
fair,not_close,0,3,20,5.8,5.199761904761905,5.799919994382652,6.389166666666667
fair,somewhat_close,1,0,19,1.6842105263157894,1.1538461538461537,1.6832206573641135,2.3756249999999994
fair,somewhat_close,1,1,19,1.3157894736842106,1.0909090909090908,1.3138367611874968,1.6112179487179485
