subject_id,scenario_label,intimacy,motivation,action,p_action,intimacy_scaled,reward_condition,scenario_idx,pred_full,pred_vanilla,pred_discomfort_only,pred_full_lm,pred_vanilla_lm,pred_discomfort_only_lm
016d631b-870f-5249-8608-d9bc2e354682,birthday,0,high,2,0.04,0.0,1,2,0.12064114,0.24908495,0.099210754,0.16236515,0.28739306,0.1235392
016d631b-870f-5249-8608-d9bc2e354682,birthday,0,high,3,0.0,0.0,1,2,0.030381043,0.15163323,0.022411248,0.03297728,0.15365607,0.024094619
016d631b-870f-5249-8608-d9bc2e354682,brunch,100,high,0,0.0,1.0,1,3,0.07661096,0.19011483,0.25,0.041197687,0.0988777,0.25
016d631b-870f-5249-8608-d9bc2e354682,brunch,100,high,1,0.05,1.0,1,3,0.30779636,0.40916693,0.25,0.22411875,0.27593467,0.25
016d631b-870f-5249-8608-d9bc2e354682,brunch,100,high,2,0.49,1.0,1,3,0.30779636,0.24908495,0.25,0.3337694,0.379597,0.25
016d631b-870f-5249-8608-d9bc2e354682,brunch,100,high,3,0.46,1.0,1,3,0.30779636,0.15163323,0.25,0.4009141,0.24559063,0.25
016d631b-870f-5249-8608-d9bc2e354682,cooking,75,high,0,0.0,0.75,1,4,0.13002345,0.19011483,0.3159864,0.095998436,0.15145747,0.33190057
016d631b-870f-5249-8608-d9bc2e354682,cooking,75,high,1,0.33,0.75,1,4,0.3936147,0.40916693,0.3159864,0.37844312,0.3777359,0.2756381
016d631b-870f-5249-8608-d9bc2e354682,cooking,75,high,2,0.19,0.75,1,4,0.27883554,0.24908495,0.21784379,0.37124908,0.34588808,0.23062018
016d631b-870f-5249-8608-d9bc2e354682,cooking,75,high,3,0.48,0.75,1,4,0.19752628,0.15163323,0.15018342,0.15430935,0.124918476,0.16184115
016d631b-870f-5249-8608-d9bc2e354682,dip,0,high,0,0.0,0.0,1,5,0.3699196,0.19011483,0.439189,0.26675647,0.1446035,0.42618304
016d631b-870f-5249-8608-d9bc2e354682,dip,0,high,1,1.0,0.0,1,5,0.47905827,0.40916693,0.439189,0.5667562,0.4962937,0.42618304
016d631b-870f-5249-8608-d9bc2e354682,dip,0,high,2,0.0,0.0,1,5,0.12064114,0.24908495,0.099210754,0.14766984,0.26904067,0.1235392
016d631b-870f-5249-8608-d9bc2e354682,dip,0,high,3,0.0,0.0,1,5,0.030381043,0.15163323,0.022411248,0.018817514,0.09006219,0.024094619
016d631b-870f-5249-8608-d9bc2e354682,drinks,0,low,0,0.83,0.0,0,6,0.6455648,0.54962945,0.439189,0.5625235,0.48961693,0.40727186
016d631b-870f-5249-8608-d9bc2e354682,drinks,0,low,1,0.17,0.0,0,6,0.2694817,0.2275344,0.439189,0.31948245,0.27737924,0.40727186
016d631b-870f-5249-8608-d9bc2e354682,drinks,0,low,2,0.0,0.0,0,6,0.067863524,0.13851412,0.099210754,0.0957081,0.14923593,0.15123463
016d631b-870f-5249-8608-d9bc2e354682,drinks,0,low,3,0.0,0.0,0,6,0.01709006,0.084322006,0.022411248,0.022285964,0.08376794,0.0342217
