subject_id,scenario_label,intimacy,motivation,action,p_action,intimacy_scaled,reward_condition,scenario_idx,pred_access_full,pred_access_only,pred_no_access
367dcae5-5607-5a12-a236-2b4a06b8efef,home,0,low,0,0.88,0.0,0,8,0.45458373,0.3697926,0.34971687
367dcae5-5607-5a12-a236-2b4a06b8efef,home,0,low,1,0.12,0.0,0,8,0.26640883,0.3099108,0.19267271
367dcae5-5607-5a12-a236-2b4a06b8efef,home,0,low,2,0.0,0.0,0,8,0.19363649,0.22323069,0.21264362
367dcae5-5607-5a12-a236-2b4a06b8efef,home,0,low,3,0.0,0.0,0,8,0.085370995,0.09706592,0.24496682
367dcae5-5607-5a12-a236-2b4a06b8efef,locker-room,100,low,0,0.25,1.0,0,9,0.31685156,0.25,0.30232784
367dcae5-5607-5a12-a236-2b4a06b8efef,locker-room,100,low,1,0.3,1.0,0,9,0.22709131,0.25,0.22487472
367dcae5-5607-5a12-a236-2b4a06b8efef,locker-room,100,low,2,0.21,1.0,0,9,0.22733516,0.25,0.22778621
367dcae5-5607-5a12-a236-2b4a06b8efef,locker-room,100,low,3,0.24,1.0,0,9,0.22872199,0.25,0.24501123
367dcae5-5607-5a12-a236-2b4a06b8efef,navigation,0,high,0,0.07,0.0,1,10,0.40536216,0.48783508,0.20162223
367dcae5-5607-5a12-a236-2b4a06b8efef,navigation,0,high,1,0.47,0.0,1,10,0.3016289,0.25957784,0.27340123
367dcae5-5607-5a12-a236-2b4a06b8efef,navigation,0,high,2,0.28,0.0,1,10,0.16844176,0.14527223,0.2619255
367dcae5-5607-5a12-a236-2b4a06b8efef,navigation,0,high,3,0.18,0.0,1,10,0.12456721,0.10731489,0.26305103
367dcae5-5607-5a12-a236-2b4a06b8efef,payment,100,high,0,0.31,1.0,1,11,0.1927786,0.25,0.19789505
367dcae5-5607-5a12-a236-2b4a06b8efef,payment,100,high,1,0.22,1.0,1,11,0.26820767,0.25,0.25708354
367dcae5-5607-5a12-a236-2b4a06b8efef,payment,100,high,2,0.16,1.0,1,11,0.26888016,0.25,0.2649172
367dcae5-5607-5a12-a236-2b4a06b8efef,payment,100,high,3,0.31,1.0,1,11,0.27013358,0.25,0.28010422
367dcae5-5607-5a12-a236-2b4a06b8efef,sauna,100,low,0,0.89,1.0,0,12,0.31969813,0.25,0.3365428
367dcae5-5607-5a12-a236-2b4a06b8efef,sauna,100,low,1,0.0,1.0,0,12,0.2261185,0.25,0.21359879
367dcae5-5607-5a12-a236-2b4a06b8efef,sauna,100,low,2,0.05,1.0,0,12,0.2266855,0.25,0.22010742
367dcae5-5607-5a12-a236-2b4a06b8efef,sauna,100,low,3,0.06,1.0,0,12,0.2274979,0.25,0.22975099
367dcae5-5607-5a12-a236-2b4a06b8efef,sleeping-bag,75,high,0,0.09,0.75,1,13,0.2351973,0.2999831,0.20282836
367dcae5-5607-5a12-a236-2b4a06b8efef,sleeping-bag,75,high,1,0.75,0.75,1,13,0.2897623,0.26442087,0.27740562
367dcae5-5607-5a12-a236-2b4a06b8efef,sleeping-bag,75,high,2,0.11,0.75,1,13,0.25193378,0.23015188,0.2726881
367dcae5-5607-5a12-a236-2b4a06b8efef,sleeping-bag,75,high,3,0.05,0.75,1,13,0.22310658,0.20544404,0.24707794
367dcae5-5607-5a12-a236-2b4a06b8efef,sunscreen,75,low,0,0.03,0.75,0,14,0.3599167,0.2843676,0.34904313
367dcae5-5607-5a12-a236-2b4a06b8efef,sunscreen,75,low,1,0.42,0.75,0,14,0.2474474,0.27553692,0.22995315
367dcae5-5607-5a12-a236-2b4a06b8efef,sunscreen,75,low,2,0.23,0.75,0,14,0.21719132,0.24287273,0.21776523
367dcae5-5607-5a12-a236-2b4a06b8efef,sunscreen,75,low,3,0.32,0.75,0,14,0.17544462,0.19722272,0.2032385
367dcae5-5607-5a12-a236-2b4a06b8efef,towel,50,low,0,1.0,0.5,0,15,0.42847702,0.34659636,0.34860975
