subject_id,scenario_label,intimacy,motivation,action,p_action,intimacy_scaled,reward_condition,scenario_idx,pred_access_full,pred_access_only,pred_no_access,pred_access_full_prior,pred_access_only_prior,pred_no_access_prior
016d631b-870f-5249-8608-d9bc2e354682,cooking,75,high,0,0.0,0.75,1,4,0.18149161,0.34190863,0.11030072,0.1289709,0.25686467,0.045776013
016d631b-870f-5249-8608-d9bc2e354682,cooking,75,high,1,0.33,0.75,1,4,0.3306458,0.26559585,0.29656643,0.37307903,0.3180388,0.38768277
016d631b-870f-5249-8608-d9bc2e354682,cooking,75,high,2,0.19,0.75,1,4,0.26808637,0.21558018,0.2965664,0.25635654,0.2188039,0.23697415
016d631b-870f-5249-8608-d9bc2e354682,cooking,75,high,3,0.48,0.75,1,4,0.21977623,0.17691533,0.29656646,0.24159354,0.20629269,0.32956707
016d631b-870f-5249-8608-d9bc2e354682,dip,0,high,0,0.0,0.0,1,5,0.24161337,0.42745593,0.11030074,0.21390715,0.3883481,0.10302538
016d631b-870f-5249-8608-d9bc2e354682,dip,0,high,1,1.0,0.0,1,5,0.56740355,0.42745593,0.29656646,0.58638436,0.4555573,0.40410206
016d631b-870f-5249-8608-d9bc2e354682,dip,0,high,2,0.0,0.0,1,5,0.15086833,0.11444642,0.29656643,0.16383205,0.12792319,0.3422735
016d631b-870f-5249-8608-d9bc2e354682,dip,0,high,3,0.0,0.0,1,5,0.04011473,0.03064171,0.29656637,0.03587648,0.028171487,0.15059902
016d631b-870f-5249-8608-d9bc2e354682,drinks,0,low,0,0.83,0.0,0,6,0.72635835,0.5294457,0.47263944,0.72699064,0.5318723,0.5696002
016d631b-870f-5249-8608-d9bc2e354682,drinks,0,low,1,0.17,0.0,0,6,0.19889095,0.3412388,0.1757868,0.20234273,0.34639117,0.20815894
016d631b-870f-5249-8608-d9bc2e354682,drinks,0,low,2,0.0,0.0,0,6,0.05288362,0.09136276,0.17578687,0.051430583,0.08850975,0.13672125
016d631b-870f-5249-8608-d9bc2e354682,drinks,0,low,3,0.0,0.0,0,6,0.02186714,0.037952736,0.17578687,0.019236108,0.033226825,0.08551963
016d631b-870f-5249-8608-d9bc2e354682,driving,50,high,0,0.07,0.5,1,7,0.1929102,0.3590441,0.11030071,0.1950467,0.36112496,0.14278372
016d631b-870f-5249-8608-d9bc2e354682,driving,50,high,1,0.88,0.5,1,7,0.45302927,0.3590441,0.2965664,0.47831154,0.3790646,0.4151014
016d631b-870f-5249-8608-d9bc2e354682,driving,50,high,2,0.02,0.5,1,7,0.23360348,0.18578182,0.29656643,0.23237215,0.18465933,0.30451632
016d631b-870f-5249-8608-d9bc2e354682,driving,50,high,3,0.03,0.5,1,7,0.1204571,0.09612994,0.2965665,0.0942696,0.075151145,0.13759856
016d631b-870f-5249-8608-d9bc2e354682,fair,100,low,0,0.0,1.0,0,8,0.43908426,0.25,0.4726397,0.46535456,0.27141327,0.51936466
016d631b-870f-5249-8608-d9bc2e354682,fair,100,low,1,0.44,1.0,0,8,0.18697186,0.25,0.17578672,0.19844002,0.27036214,0.201464
016d631b-870f-5249-8608-d9bc2e354682,fair,100,low,2,0.36,1.0,0,8,0.18697198,0.25,0.17578684,0.20012565,0.27265283,0.20609729
016d631b-870f-5249-8608-d9bc2e354682,fair,100,low,3,0.2,1.0,0,8,0.18697195,0.25,0.17578681,0.13607977,0.18557179,0.07307398
016d631b-870f-5249-8608-d9bc2e354682,gala,75,high,0,0.0,0.75,1,9,0.18493184,0.34706742,0.1103007,0.1983261,0.36577442,0.14938216
016d631b-870f-5249-8608-d9bc2e354682,gala,75,high,1,0.0,0.75,1,9,0.3118598,0.24965572,0.2965664,0.29267693,0.23144841,0.25060517
016d631b-870f-5249-8608-d9bc2e354682,gala,75,high,2,0.63,0.75,1,9,0.27926612,0.22369216,0.29656643,0.26432505,0.20911337,0.25008267
016d631b-870f-5249-8608-d9bc2e354682,gala,75,high,3,0.37,0.75,1,9,0.22394222,0.17958467,0.29656646,0.24467191,0.1936638,0.34993
016d631b-870f-5249-8608-d9bc2e354682,hike,100,high,0,0.0,1.0,1,10,0.12429796,0.25,0.11030073,0.13501862,0.2671592,0.14021084
016d631b-870f-5249-8608-d9bc2e354682,hike,100,high,1,0.13,1.0,1,10,0.29190063,0.25,0.29656637,0.32606515,0.27617273,0.39115533
016d631b-870f-5249-8608-d9bc2e354682,hike,100,high,2,0.58,1.0,1,10,0.29190072,0.25,0.29656646,0.2718624,0.23036635,0.23993626
016d631b-870f-5249-8608-d9bc2e354682,hike,100,high,3,0.29,1.0,1,10,0.2919007,0.25,0.29656643,0.2670539,0.22630177,0.22869755
016d631b-870f-5249-8608-d9bc2e354682,oysters,50,low,0,0.93,0.5,0,11,0.6224261,0.41157448,0.47263965,0.63643676,0.4276977,0.55635494
016d631b-870f-5249-8608-d9bc2e354682,oysters,50,low,1,0.07,0.5,0,11,0.13666876,0.21296285,0.17578675,0.12843393,0.20218249,0.14753772
016d631b-870f-5249-8608-d9bc2e354682,oysters,50,low,2,0.0,0.5,0,11,0.17043224,0.26526833,0.17578681,0.17406617,0.27372566,0.19397563
016d631b-870f-5249-8608-d9bc2e354682,oysters,50,low,3,0.0,0.5,0,11,0.07047293,0.11019434,0.17578678,0.061063163,0.0963942,0.10213174
016d631b-870f-5249-8608-d9bc2e354682,social,100,low,0,0.71,1.0,0,12,0.4390842,0.25,0.47263965,0.47209227,0.2767778,0.5489086
016d631b-870f-5249-8608-d9bc2e354682,social,100,low,1,0.01,1.0,0,12,0.18697187,0.25,0.17578675,0.1777279,0.24347933,0.1523158
016d631b-870f-5249-8608-d9bc2e354682,social,100,low,2,0.24,1.0,0,12,0.18697196,0.25,0.17578681,0.19193785,0.2628966,0.1873037
016d631b-870f-5249-8608-d9bc2e354682,social,100,low,3,0.04,1.0,0,12,0.1869719,0.25,0.17578676,0.15824202,0.21684629,0.11147185
016d631b-870f-5249-8608-d9bc2e354682,soup,75,low,0,0.9,0.75,0,13,0.55806124,0.34912792,0.4726397,0.59078395,0.38145432,0.57402366
016d631b-870f-5249-8608-d9bc2e354682,soup,75,low,1,0.06,0.75,0,13,0.17638804,0.25954908,0.17578672,0.15248168,0.23036839,0.12028069
