subject_id,scenario_label,intimacy,effort,action,p_action,intimacy_scaled,effort_condition,action_idx,scenario_idx,pred_access_full,pred_access_only,pred_no_access,pred_access_full_prior,pred_access_only_prior,pred_no_access_prior
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,driving,75,low,1,0.75,0.75,0,0,7,0.6174224,0.62419844,0.49999997,0.64017063,0.6398251,0.58490276
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,driving,75,low,2,0.25,0.75,0,1,7,0.38257757,0.3758016,0.50000006,0.3598294,0.36017486,0.4150972
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,fair,75,high,1,0.32,0.75,1,0,8,0.44788682,0.6040927,0.49999985,0.43687287,0.5991637,0.5136438
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,fair,75,high,2,0.68,0.75,1,1,8,0.5521132,0.3959073,0.5000002,0.56312716,0.40083632,0.48635623
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,gala,75,high,1,0.07,0.75,1,0,9,0.47010344,0.6282937,0.49999982,0.29682615,0.49074125,0.17489995
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,gala,75,high,2,0.93,0.75,1,1,9,0.52989656,0.37170628,0.5000002,0.7031739,0.5092588,0.82510006
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,hike,100,low,1,0.91,1.0,0,0,10,0.44780892,0.5,0.49999997,0.5055629,0.546479,0.6371024
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,hike,100,low,2,0.09,1.0,0,1,10,0.55219114,0.5,0.50000006,0.49443704,0.45352098,0.3628976
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,oysters,100,low,1,0.7,1.0,0,0,11,0.40580374,0.5,0.4999999,0.4607899,0.546479,0.63710237
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,oysters,100,low,2,0.3,1.0,0,1,11,0.5941963,0.5,0.50000006,0.5392101,0.45352098,0.36289766
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,social,100,high,1,0.15,1.0,1,0,12,0.32446074,0.5,0.49999985,0.31346792,0.49648902,0.4894034
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,social,100,high,2,0.85,1.0,1,1,12,0.6755392,0.5,0.5000001,0.6865321,0.50351095,0.5105966
