subject_id,scenario_label,stimulus_index,action_condition,intimacy,stage,desire_rating,effort_rating
277b71a5-9dbf-5db4-b18c-9c6b58bfd0d3,home,13,no_share,somewhat_formal,posterior,0.24,1.0
277b71a5-9dbf-5db4-b18c-9c6b58bfd0d3,home,13,no_share,somewhat_formal,prior,0.5,0.89
277b71a5-9dbf-5db4-b18c-9c6b58bfd0d3,locker-room,2,low_risk_share,max_intimate,posterior,0.96,0.1
277b71a5-9dbf-5db4-b18c-9c6b58bfd0d3,locker-room,2,low_risk_share,max_intimate,prior,0.74,0.5
277b71a5-9dbf-5db4-b18c-9c6b58bfd0d3,navigation,0,no_share,max_intimate,posterior,0.26,0.26
277b71a5-9dbf-5db4-b18c-9c6b58bfd0d3,navigation,0,no_share,max_intimate,prior,0.75,0.27
277b71a5-9dbf-5db4-b18c-9c6b58bfd0d3,salary,6,no_share,somewhat_formal,posterior,0.75,0.24
277b71a5-9dbf-5db4-b18c-9c6b58bfd0d3,salary,6,no_share,somewhat_formal,prior,1.0,0.4
277b71a5-9dbf-5db4-b18c-9c6b58bfd0d3,sauna,7,high_risk_share,max_intimate,posterior,1.0,0.09
277b71a5-9dbf-5db4-b18c-9c6b58bfd0d3,sauna,7,high_risk_share,max_intimate,prior,0.97,0.09
277b71a5-9dbf-5db4-b18c-9c6b58bfd0d3,sleeping-bag,8,high_risk_share,somewhat_intimate,posterior,1.0,0.94
277b71a5-9dbf-5db4-b18c-9c6b58bfd0d3,sleeping-bag,8,high_risk_share,somewhat_intimate,prior,1.0,0.24
277b71a5-9dbf-5db4-b18c-9c6b58bfd0d3,sunscreen,14,high_risk_share,max_formal,posterior,1.0,1.0
277b71a5-9dbf-5db4-b18c-9c6b58bfd0d3,sunscreen,14,high_risk_share,max_formal,prior,1.0,0.5
277b71a5-9dbf-5db4-b18c-9c6b58bfd0d3,towel,3,high_risk_share,max_intimate,posterior,1.0,1.0
277b71a5-9dbf-5db4-b18c-9c6b58bfd0d3,towel,3,high_risk_share,max_intimate,prior,0.97,0.56
2be6294c-4222-55b6-b5fe-ce0cbebe84af,bed,2,no_share,somewhat_formal,posterior,0.74,0.0
